Candidate ID,Interviewer Type,Behavioral Assessment,Technical Assessment,Rapidfire Assessment
1,Leadership,64,87,85
2,Leadership,56,79,63
3,Leadership,53,82,98
4,Leadership,70,76,68
5,Leadership,64,96,83
6,Leadership,63,88,63
7,Leadership,68,97,88
8,Leadership,63,86,71
9,Leadership,59,99,51
10,Leadership,67,75,90
11,Leadership,64,79,99
12,Leadership,56,98,60
13,Leadership,64,95,59
14,Leadership,52,87,57
15,Leadership,69,73,59
16,Leadership,70,89,87
17,Leadership,60,79,61
18,Leadership,52,79,72
19,Leadership,64,89,96
20,Leadership,57,82,94
21,Leadership,50,73,64
22,Leadership,52,79,75
23,Leadership,66,92,57
24,Leadership,66,71,84
25,Leadership,63,82,52
1,Developers,77,59,59
2,Developers,83,66,51
3,Developers,100,68,69
4,Developers,95,70,80
5,Developers,80,76,95
6,Developers,88,52,62
7,Developers,87,72,73
8,Developers,90,53,66
9,Developers,87,62,92
10,Developers,98,64,84
11,Developers,99,59,71
12,Developers,96,71,53
13,Developers,80,78,80
14,Developers,86,66,91
15,Developers,93,71,59
16,Developers,84,67,93
17,Developers,82,75,67
18,Developers,100,79,100
19,Developers,88,53,97
20,Developers,92,69,96
21,Developers,79,54,57
22,Developers,79,77,62
23,Developers,97,78,94
24,Developers,80,56,58
25,Developers,79,74,93
1,Analysts,52,87,98
2,Analysts,96,58,99
3,Analysts,67,59,59
4,Analysts,72,90,55
5,Analysts,73,99,53
6,Analysts,90,85,81
7,Analysts,86,73,71
8,Analysts,96,77,50
9,Analysts,80,75,50
10,Analysts,57,57,59
11,Analysts,83,58,96
12,Analysts,88,52,88
13,Analysts,51,61,59
14,Analysts,50,72,68
15,Analysts,84,66,70
16,Analysts,59,95,62
17,Analysts,63,91,59
18,Analysts,89,87,85
19,Analysts,94,79,64
20,Analysts,100,78,71
21,Analysts,90,52,85
22,Analysts,78,64,68
23,Analysts,62,59,84
24,Analysts,82,93,79
25,Analysts,65,73,75
1,Recent Hire,64,84,63
2,Recent Hire,68,96,74
3,Recent Hire,53,80,96
4,Recent Hire,58,83,62
5,Recent Hire,56,80,86
6,Recent Hire,68,92,88
7,Recent Hire,58,98,78
8,Recent Hire,70,94,71
9,Recent Hire,67,91,59
10,Recent Hire,55,87,65
11,Recent Hire,58,90,67
12,Recent Hire,52,93,92
13,Recent Hire,70,96,53
14,Recent Hire,62,88,84
15,Recent Hire,63,80,69
16,Recent Hire,57,95,79
17,Recent Hire,60,97,70
18,Recent Hire,50,84,71
19,Recent Hire,67,85,90
20,Recent Hire,60,91,62
21,Recent Hire,62,99,80
22,Recent Hire,54,94,86
23,Recent Hire,65,89,68
24,Recent Hire,53,82,89
25,Recent Hire,57,92,82
