Candidate ID,Leadership Behavioral Assessment,Leadership Technical Assessment,Leadership Rapidfire Assessment,Developers Behavioral Assessment,Developers Technical Assessment,Developers Rapidfire Assessment,Analysts Behavioral Assessment,Analysts Technical Assessment,Analysts Rapidfire Assessment,Recent Hires Behavioral Assessment,Recent Hires Technical Assessment,Recent Hires Rapidfire Assessment
1,64,87,85,77,59,59,52,87,98,64,84,63
2,56,79,63,83,66,51,96,58,99,68,96,74
3,53,82,98,100,68,69,67,59,59,53,80,96
4,70,76,68,95,70,80,72,90,55,58,83,62
5,64,96,83,80,76,95,73,99,53,56,80,86
6,63,88,63,88,52,62,90,85,81,68,92,88
7,68,97,88,87,72,73,86,73,71,58,98,78
8,63,86,71,90,53,66,96,77,50,70,94,71
9,59,99,51,87,62,92,80,75,50,67,91,59
10,67,75,90,98,64,84,57,57,59,55,87,65
11,64,79,99,99,59,71,83,58,96,58,90,67
12,56,98,60,96,71,53,88,52,88,52,93,92
13,64,95,59,80,78,80,51,61,59,70,96,53
14,52,87,57,86,66,91,50,72,68,62,88,84
15,69,73,59,93,71,59,84,66,70,63,80,69
16,70,89,87,84,67,93,59,95,62,57,95,79
17,60,79,61,82,75,67,63,91,59,60,97,70
18,52,79,72,100,79,100,89,87,85,50,84,71
19,64,89,96,88,53,97,94,79,64,67,85,90
20,57,82,94,92,69,96,100,78,71,60,91,62
21,50,73,64,79,54,57,90,52,85,62,99,80
22,52,79,75,79,77,62,78,64,68,54,94,86
23,66,92,57,97,78,94,62,59,84,65,89,68
24,66,71,84,80,56,58,82,93,79,53,82,89
25,63,82,52,79,74,93,65,73,75,57,92,82
